,date,stock_main_close,stock_second_close,pbMRQ,peTTM,psTTM,pcfNcfTTM,pcfNcfTTM/100,peTTM/10,close/peTTM
1370,2014/4/25,1036.72,3.64985164,2.536895,23.612153,1.213515,21.078454,0.21078454,0.21078454,
1371,2014/4/28,1007.27,3.4687080000000003,2.410988,22.440272,1.1532879999999999,20.032322,0.20032322,0.20032322,
1454,2014/8/26,1202.464,3.58776398,2.4359,25.173569,1.274761,9.129455,0.09129455,0.09129455,
1455,2014/8/27,1209.204,3.59970992,2.444011,25.257388,1.279005,9.159852,0.09159852,0.09159852,
1456,2014/8/28,1198.708,3.5439622,2.406161,24.866234,1.259198,9.017996,0.09017996,0.09017996,
1457,2014/8/29,1212.256,3.6036919000000003,2.446715,25.285328,1.2804200000000001,9.169985,0.09169985,0.09169985,
1458,2014/9/1,1232.56,3.63156576,2.465639,25.480905,1.290324,9.240913,0.09240913,0.09240913,
1459,2014/9/2,1249.0610000000001,3.73111526,2.533228,26.179395,1.325695,9.494228,0.09494228,0.09494228,
1460,2014/9/3,1258.743,3.76695308,2.55756,26.430851,1.3384280000000002,9.585421,0.09585421,0.09585421,
1461,2014/9/4,1268.5610000000001,3.77491704,2.562967,26.486729999999998,1.341258,9.605686,0.09605686,0.09605686,
1462,2014/9/5,1273.681,3.79084496,2.573782,26.598488,1.346917,9.646216,0.09646216,0.09646216,
1463,2014/9/9,1279.516,3.9023404000000004,2.649481,27.380796999999998,1.3865319999999999,9.929928,0.09929928,0.09929928,
1464,2014/9/10,1285.181,3.89039446,2.64137,27.296978000000003,1.382288,9.899531,0.09899531,0.09899531,
1465,2014/9/11,1283.027,3.80677288,2.584596,26.710247,1.352576,9.686747,0.09686747,0.09686747,
1466,2014/9/12,1294.789,3.93021426,2.668406,27.576373999999998,1.396436,10.000857,0.10000857,0.10000857,
1467,2014/9/15,1304.201,4.0616196,2.757623,28.498381,1.443125,10.335232000000001,0.10335232,0.10335232,
1468,2014/9/16,1263.0410000000002,4.34832216,2.952279,30.510031,1.544993,11.064777000000001,0.11064777,0.11064777,
1469,2014/9/17,1271.337,4.28461048,2.909022,30.062996999999996,1.522356,10.902656,0.10902656,0.10902656,
1470,2014/9/18,1279.427,4.26470058,2.8955040000000003,29.9233,1.515282,10.851992999999998,0.10851993,0.10851993,
1471,2014/9/19,1291.228,4.2208988,2.865765,29.615964,1.499719,10.740535000000001,0.10740535,0.10740535,
1472,2014/9/22,1275.519,4.17311504,2.833323,29.280689000000002,1.482741,10.618944,0.10618944,0.10618944,
1473,2014/9/23,1291.4180000000001,4.06560158,2.760327,28.526320000000002,1.44454,10.345364,0.10345364,0.10345364,
1474,2014/9/24,1309.141,4.1412592,2.8116939999999997,29.057171999999998,1.471422,10.537883,0.10537883,0.10537883,
1475,2014/9/25,1309.0439999999999,4.29655642,2.917133,30.146815999999998,1.5266,10.933053999999998,0.10933054,0.10933054,
1476,2014/9/26,1312.6029999999998,4.34434018,2.949575,30.482090999999997,1.5435780000000001,11.054644999999999,0.11054645,0.11054645,
1480,2014/10/9,1355.7060000000001,4.40406988,2.990129,30.901184999999998,1.564801,11.206634,0.11206634,0.11206634,
1481,2014/10/10,1350.599,4.38814196,2.979314,30.789427000000003,1.5591409999999999,11.166103,0.11166103,0.11166103,
1482,2014/10/13,1349.467,4.4000879,2.987425,30.873246,1.5633860000000002,11.196501,0.11196501,0.11196501,
1483,2014/10/14,1345.642,4.32443028,2.936058,30.342392999999998,1.536504,11.003982,0.11003982,0.11003982,
1484,2014/10/15,1351.125,4.36425008,2.963093,30.621789,1.5506520000000001,11.105308,0.11105308,0.11105308,
1485,2014/10/16,1332.8970000000002,4.33239424,2.941465,30.398273,1.539334,11.024247,0.11024247,0.11024247,
1486,2014/10/17,1323.521,4.20497088,2.854951,29.504206,1.494059,10.700005,0.10700005,0.10700005,
1492,2014/10/27,1302.392,4.300538400000001,2.919836,30.174756,1.528015,10.943186,0.10943186,0.10943186,
1493,2014/10/28,1333.526,4.3602681,2.9603900000000003,30.59385,1.549238,11.095175,0.11095175,0.11095175,
1533,2014/12/23,1392.619,4.29257444,2.878073,43.791962,1.597702,16.454254000000002,0.16454254,0.16454254,
1537,2014/12/29,1418.489,4.2208988,2.830016,43.060742,1.571024,16.179508,0.16179508,0.16179508,
1538,2014/12/30,1398.567,4.11338534,2.757931,41.963910999999996,1.531008,15.767388,0.15767388,0.15767388,
1539,2014/12/31,1415.191,4.2009889000000005,2.816667,42.857625,1.5636139999999998,16.103189,0.16103189,0.16103189,
