股票代码,买入日期,卖出日期,共计天数,初始金额,购买股数,买入价格,卖出价格,收益,利润
sz.000507,2013/8/21,2014/12/8,474,1000.000000,305,3.269670,10.166474,3100.774607,2100.774607
sz.000507,2016/4/26,2017/4/14,353,1000.000000,177,5.639770,10.943195,1936.945557,936.945557
