stock_code,pbMRQ_min_down,pbMRQ_min_up,pbMRQ_max_down,pbMRQ_max_up,peTTM_min_down,peTTM_min_up,peTTM_max_down,peTTM_max_up,psTTM_min_down,psTTM_min_up,psTTM_max_down,psTTM_max_up,pcfNcfTTM_min_down,pcfNcfTTM_min_up,pcfNcfTTM_max_down,pcfNcfTTM_max_up
sz.000507,0.863341,1.799798,2.136714,4.507696,13.329766000000001,59.695737,38.041533,643.8344950000001,1.416034,3.173725,2.405351,6.085676,-5035.555274,8.720216,-270.964472,27.120182
sz.002269,1.8012,2.992868,3.404029,8.431102000000001,-26.954076,119.625456,-59.699748,397.76284,0.742312,1.5995030000000001,1.889676,4.743012,-22.466804999999997,312.252182,-80.408119,75.492143
