date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
1993-03-26,sz.000507,4.2772450000,6.0614672000,4.2772450000,5.5970806000,0.2444140000,2387500,55872525.0000,2,4.566494,1,2190.000000,0
1993-03-29,sz.000507,5.6215220000,5.6215220000,5.0593698000,5.1326940000,5.5970806000,2690000,57481525.0000,2,5.145076,1,-8.296942,0
1993-03-30,sz.000507,5.1326940000,5.2549010000,4.9005007000,5.2304596000,5.1326940000,1925500,39631225.0000,2,3.682841,1,1.904760,0
1993-03-31,sz.000507,5.2304596000,5.2793424000,5.0104870000,5.2060182000,5.2304596000,2537000,53762300.0000,2,4.852438,1,-0.467292,0
1993-04-01,sz.000507,5.2060182000,5.2549010000,5.1082526000,5.1937975000,5.2060182000,1404000,29876650.0000,2,2.685385,1,-0.234738,0
1993-04-02,sz.000507,5.2060182000,5.2060182000,5.0349284000,5.0349284000,5.1937975000,1712000,35817600.0000,2,3.274487,1,-3.058822,0
1993-04-05,sz.000507,5.0349284000,5.0960319000,4.9371628000,4.9493835000,5.0349284000,1320000,27001850.0000,2,2.524721,1,-1.699031,0
1993-04-06,sz.000507,4.9127214000,5.0593698000,4.8393972000,4.9616042000,4.9493835000,2647000,53281125.0000,2,5.062831,1,0.246910,0
1993-04-07,sz.000507,4.9982663000,5.1326940000,4.9982663000,5.1082526000,4.9616042000,2831500,58747100.0000,2,5.415718,1,2.955667,0
1993-04-08,sz.000507,5.1449147000,5.3893287000,5.1449147000,5.3771080000,5.1082526000,4604500,99506950.0000,2,8.806878,1,5.263160,0
1993-04-09,sz.000507,5.4137701000,5.5726392000,5.4137701000,5.5237564000,5.3771080000,4813000,108285300.0000,2,9.205669,1,2.727274,0
1993-04-12,sz.000507,5.4993150000,5.8537153000,5.4993150000,5.7926118000,5.5237564000,4020500,95456700.0000,2,7.689880,1,4.867258,0
1993-04-13,sz.000507,5.8292739000,5.8292739000,5.6704048000,5.7070669000,5.7926118000,3573000,84005225.0000,2,6.833961,1,-1.476795,0
1993-04-14,sz.000507,5.7437290000,5.7559497000,5.5970806000,5.6826255000,5.7070669000,2184500,50856625.0000,2,4.178222,1,-0.428267,0
