date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
1991-04-30,sz.399106,99.5000,99.5000,89.1700,89.1700,153300,2483683.0000,3,0.002184,0.000000
1991-05-31,sz.399106,88.7200,88.7200,79.3300,79.3300,5095200,65002848.0000,3,0.072596,-11.035101
1991-07-31,sz.399106,71.6300,71.6300,59.8200,60.1400,18386600,87897749.0000,3,0.075233,-16.991028
1991-10-31,sz.399106,49.4800,86.1800,49.0400,86.1800,74614300,711011145.0000,3,0.284722,83.870279
1991-12-31,sz.399106,100.0300,110.8000,100.0300,110.3700,46952800,603748100.0000,3,0.179144,9.353017
1992-01-31,sz.399106,110.5300,114.7000,107.0800,114.7000,35582900,509020070.0000,3,0.134994,3.923168
1992-02-28,sz.399106,115.3600,116.3600,109.2200,113.3000,22622400,328700595.0000,3,0.084915,-1.220575
1992-03-31,sz.399106,115.5300,140.2700,113.2400,140.2700,62959700,904096400.0000,3,0.187510,23.804060
1992-04-30,sz.399106,143.2100,213.2900,142.0200,213.2900,187442400,3140942750.0000,3,0.367022,52.056748
1992-05-29,sz.399106,220.4300,312.2100,220.4300,304.7100,253168800,6203069155.0000,3,0.416510,42.861831
1992-06-30,sz.399106,306.3900,306.3900,233.7300,286.8800,221187400,5230931440.0000,3,0.342290,-5.851465
1992-07-31,sz.399106,274.4200,308.6700,267.7900,301.8400,231529400,6162527470.0000,3,0.340347,5.214724
1992-08-31,sz.399106,287.8000,310.4700,276.7400,277.1700,147367600,4223143720.0000,3,0.216630,-8.173204
1992-09-30,sz.399106,271.0800,274.9200,242.6900,270.6500,139665600,3878882715.0000,3,0.205308,-2.352347
1992-10-30,sz.399106,272.2500,272.2500,210.3200,231.6600,109149800,2603543755.0000,3,0.153746,-14.406059
1992-11-30,sz.399106,217.8300,223.1500,164.8000,217.6500,207271600,3758083770.0000,3,0.280505,-6.047656
1992-12-31,sz.399106,224.1600,241.2100,211.8600,241.2100,294047900,6464601025.0000,3,0.368705,10.824719
1993-02-26,sz.399106,280.4500,359.4400,309.9700,347.4700,571325400,16692695160.0000,3,0.654417,23.897308
1993-03-31,sz.399106,347.4700,346.5700,293.9600,315.3700,389874800,11301746629.5700,3,0.431103,-9.238208
1993-04-30,sz.399106,315.3700,339.8100,305.2300,337.0900,373749100,9623223661.4600,3,0.362663,6.887148
1993-05-31,sz.399106,337.0900,331.6300,271.9400,282.3000,327426300,6897691264.5200,3,0.260923,-16.253819
1993-06-30,sz.399106,282.3000,290.8500,257.8500,261.5800,286742300,4727414183.1900,3,0.189046,-7.339710
1993-07-30,sz.399106,261.5800,263.9100,203.9100,242.6200,470517000,6051201724.9700,3,0.237576,-7.248261
1993-08-31,sz.399106,242.6200,320.8000,233.9400,272.4900,1356691200,19844669452.2300,3,0.628493,12.311434
1993-09-30,sz.399106,272.4900,272.1700,244.9300,254.5400,507007300,6099743026.8400,3,0.214964,-6.587398
1993-10-29,sz.399106,254.5400,261.0800,232.8300,235.8100,416246100,4725229033.2600,3,0.162957,-7.358372
1993-11-30,sz.399106,235.8100,272.7900,231.3400,257.7500,1615773100,20762125084.8100,3,0.576178,9.304101
1993-12-31,sz.399106,257.7500,262.8200,236.5200,238.2800,1391091000,17330017062.9000,3,0.414549,-7.553831
1994-01-31,sz.399106,238.2800,242.0600,199.9800,199.9800,1012631000,9740099707.4000,3,0.249293,-16.073527
1994-02-28,sz.399106,199.9800,233.2800,199.2100,211.9000,1163308700,10483824531.5400,3,0.272699,5.960596
1994-03-31,sz.399106,211.9000,211.2000,177.8400,177.8400,984389600,8529384114.9000,3,0.227511,-16.073620
1994-04-29,sz.399106,177.8400,175.8200,130.3300,150.3500,1671497900,10895525739.9600,3,0.361552,-15.457715
1994-05-31,sz.399106,150.3500,166.9600,142.6700,145.0500,2607266800,17821661775.8300,3,0.519655,-3.525108
1994-06-30,sz.399106,145.0500,139.6600,117.2100,119.8900,813503600,4120268509.4900,3,0.143914,-17.345743
1994-07-29,sz.399106,119.8900,120.4500,94.7800,96.5600,826306900,3062122233.7300,3,0.131522,-19.459505
1994-08-31,sz.399106,96.5600,173.3700,96.5600,159.4600,7969677800,44653838574.3000,3,1.228941,65.140845
