date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
1991-04-04,sz.399106,99.5000,99.5000,99.5000,99.5000,0.0000,52300,761033.0000,3,0.000745,1,0.000000,0
1991-04-05,sz.399106,99.0100,99.0100,99.0100,99.0100,99.5000,10700,150034.0000,3,0.000152,1,-0.492460,0
1991-04-08,sz.399106,98.0800,98.0800,98.0800,98.0800,98.5300,5700,84478.0000,3,0.000081,1,-0.456711,0
1991-04-09,sz.399106,97.5400,97.5400,97.5400,97.5400,98.0800,1900,39160.0000,3,0.000027,1,-0.550572,0
1991-04-10,sz.399106,97.0400,97.0400,97.0400,97.0400,97.5400,4500,109705.0000,3,0.000064,1,-0.512610,0
1991-04-11,sz.399106,96.5400,96.5400,96.5400,96.5400,97.0400,4500,59165.0000,3,0.000064,1,-0.515251,0
1991-04-12,sz.399106,96.0600,96.0600,96.0600,96.0600,96.5400,6800,112764.0000,3,0.000097,1,-0.497207,0
1991-04-15,sz.399106,95.1300,95.1300,95.1300,95.1300,95.5900,5000,64500.0000,3,0.000071,1,-0.481221,0
1991-04-16,sz.399106,94.6600,94.6600,94.6600,94.6600,95.1300,2200,33631.0000,3,0.000031,1,-0.494054,0
1991-04-17,sz.399106,94.2000,94.2000,94.2000,94.2000,94.6600,2100,30135.0000,3,0.000030,1,-0.485957,0
1991-04-18,sz.399106,93.7300,93.7300,93.7300,93.7300,94.2000,1400,32028.0000,3,0.000020,1,-0.498932,0
1991-04-19,sz.399106,93.2700,93.2700,93.2700,93.2700,93.7300,1700,27423.0000,3,0.000024,1,-0.490779,0
1991-04-22,sz.399106,92.3400,92.3400,92.3400,92.3400,92.8000,0,0.0000,3,0.000000,1,-0.495697,0
1991-04-23,sz.399106,91.8700,91.8700,91.8700,91.8700,92.3400,4800,149935.0000,3,0.000068,1,-0.508982,0
1991-04-24,sz.399106,91.4200,91.4200,91.4200,91.4200,91.8700,4600,108768.0000,3,0.000066,1,-0.489828,0
1991-04-25,sz.399106,90.9700,90.9700,90.9700,90.9700,91.4200,5000,109890.0000,3,0.000071,1,-0.492230,0
1991-04-26,sz.399106,90.5200,90.5200,90.5200,90.5200,90.9700,5300,91577.0000,3,0.000076,1,-0.494674,0
1991-04-29,sz.399106,89.6200,89.6200,89.6200,89.6200,90.0600,4900,72425.0000,3,0.000070,1,-0.488557,0
1991-04-30,sz.399106,89.1700,89.1700,89.1700,89.1700,89.6200,14200,182526.0000,3,0.000202,1,-0.502125,0
1991-05-02,sz.399106,88.7200,88.7200,88.7200,88.7200,89.1700,7200,92547.0000,3,0.000103,1,-0.504651,0
