date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
1993-03-31,sz.000507,4.2772450000,6.0614672000,4.2772450000,5.2060182000,9540000,206747575.0000,2,18.246849,2030.000000
1993-04-30,sz.000507,5.2060182000,5.8537153000,4.8393972000,5.3771080000,49330000,1104783700.0000,2,94.351893,3.286385
1993-05-31,sz.000507,5.3771080000,5.4382115000,4.1305966000,4.3994520000,31441400,611831750.0000,2,60.136947,-18.181818
1993-06-30,sz.000507,4.4361141000,4.6683074000,3.9777444000,4.0634716500,29780500,428810975.0000,2,50.809377,-10.162372
1993-07-30,sz.000507,4.0463262000,4.4406715500,2.8804356000,3.6862717500,34948900,359038455.0000,2,27.871722,-20.248528
1993-08-31,sz.000507,3.7377081000,5.8637439000,3.4290900000,5.0921986500,168554400,2410819805.0000,2,124.463466,35.663870
1993-09-30,sz.000507,5.1436350000,5.1607804500,4.4921079000,4.8521623500,39362400,560566105.0000,2,29.065873,-5.060300
1993-10-29,sz.000507,4.8693078000,5.0236168500,4.3363656000,4.5428592000,17921800,245625895.0000,2,13.233765,-6.374558
1993-11-30,sz.000507,4.4912358000,5.1795478000,4.4051968000,4.6116904000,40298500,562962385.0000,2,29.757105,1.515152
1993-12-31,sz.000507,4.6116904000,4.7493528000,3.9577940000,4.0438330000,17932600,227131165.0000,2,13.241740,-12.313433
1994-01-31,sz.000507,4.0266252000,4.2331188000,3.2350664000,3.2694820000,11589000,130478315.0000,2,8.557517,-19.148936
1994-02-28,sz.000507,3.2006508000,4.0610408000,3.1662352000,3.6308458000,19284600,201421630.0000,2,14.240080,11.052632
1994-03-31,sz.000507,3.6136380000,3.7168848000,2.6327934000,2.6672090000,11885400,111816840.0000,2,8.776384,-26.540284
1994-04-29,sz.000507,2.6500012000,2.6672090000,1.7551956000,2.0305204000,22802300,138193501.0000,2,16.837610,-23.870968
1994-05-31,sz.000507,2.0649360000,2.5295466000,1.9272736000,2.0133126000,40811900,272211072.0000,2,30.136208,-0.847458
1994-06-30,sz.000507,1.9961048000,1.9961048000,1.4385720800,1.4729876800,7718500,38601739.0000,2,5.699473,-26.837607
1994-07-29,sz.000507,1.4729876800,1.4729876800,0.9145624000,1.1420876800,23078800,64609305.0000,2,12.548168,-22.464521
1994-08-31,sz.000507,1.5882156800,2.4090912000,1.5614480000,2.0923403200,144676000,658242248.0000,2,75.719750,83.203125
1994-09-30,sz.000507,2.1414144000,2.9890576000,2.0521888000,2.1324918400,157782100,926574237.0000,2,81.461516,1.918977
1994-10-31,sz.000507,2.0655726400,2.0968016000,1.5971382400,1.6328284800,38354600,151739699.0000,2,19.636075,-23.430962
1994-11-30,sz.000507,1.6328284800,1.7845120000,1.5926769600,1.6729800000,16541900,61739963.0000,2,8.468815,2.459016
1994-12-30,sz.000507,1.6551348800,1.7398992000,1.5168352000,1.6105220800,19272900,70722390.0000,2,9.866981,-3.733333
1995-01-27,sz.000507,1.6060608000,1.6372897600,1.3250001600,1.3651516800,8013700,26045313.0000,2,4.102705,-15.235457
1995-02-28,sz.000507,1.3651516800,1.5168352000,1.3294614400,1.3740742400,5704400,18200514.0000,2,2.920433,0.653595
1995-03-31,sz.000507,1.3740742400,1.5569867200,1.3606904000,1.4454547200,13985500,45716424.0000,2,7.160036,5.194805
1995-04-28,sz.000507,1.4499160000,1.4811449600,1.0930136000,1.2045456000,10074800,30612311.0000,2,5.157909,-16.666667
1995-05-31,sz.000507,1.1956230400,1.6283672000,1.1376264000,1.1867004800,25942700,82071111.0000,2,13.281661,-1.481481
1995-06-30,sz.000507,1.1867004800,1.2045456000,1.0707072000,1.0840910400,6208100,15681723.0000,2,3.178308,-8.646617
1995-07-31,sz.000507,1.0707072000,1.3294614400,1.0528620800,1.1331651200,17365500,46199855.0000,2,8.890466,4.526749
1995-08-31,sz.000507,1.1376264000,1.3919193600,1.1063974400,1.2347834000,49892200,144362824.0000,2,25.542881,8.967629
1995-09-29,sz.000507,1.2347834000,1.2580812000,1.1555708800,1.1788686800,10573300,27427962.0000,2,5.413122,-4.528302
1995-10-31,sz.000507,1.1881878000,1.4677614000,1.1509113200,1.2347834000,50911500,144802385.0000,2,26.064724,4.743083
1995-11-30,sz.000507,1.2394429600,1.3186554800,1.1788686800,1.1928473600,17555911,47120732.3600,2,8.987949,-3.396226
1995-12-29,sz.000507,1.1928473600,1.2114856000,1.0716988000,1.0810179200,5886384,14540609.1000,2,3.013601,-9.375000
1996-01-31,sz.000507,1.0484010000,1.0903370400,0.9738480400,1.0064649600,4897192,10750320.8800,2,2.507173,-6.896552
1996-02-16,sz.000507,1.0018054000,1.0251032000,0.9691884800,1.0204436400,2297918,4908575.8000,2,1.176445,1.388889
1996-03-29,sz.000507,1.0251032000,1.0903370400,0.9831671600,1.0064649600,6360824,13961846.2300,2,3.256496,-1.369863
1996-04-30,sz.000507,1.0484010000,1.4910592000,0.9924862800,1.3512724000,82143630,226281915.7600,2,42.054369,34.259259
1996-05-31,sz.000507,1.4025275600,1.5003783200,1.1881878000,1.3046768000,105774832,304420538.8100,2,54.152633,-3.448276
1996-06-28,sz.000507,1.3093363600,1.4677614000,1.2254642800,1.3838893200,119106835,345270660.0200,2,60.978104,6.071429
1996-07-31,sz.000507,1.2953576800,2.0921424400,1.2208047200,1.7799519200,292366492,1030886933.1100,2,149.680363,28.619529
1996-08-30,sz.000507,1.7613136800,1.9290578400,1.4351444800,1.6821011600,120213291,450445976.5000,2,61.544567,-5.497382
1996-09-27,sz.000507,1.7007394000,2.1770171800,1.7007394000,1.8700624800,305071978,1278947352.8900,2,156.185082,11.174328
